# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-t" "gene" "-g" "ID" "-F" "GFF" "-T" "4" "-a" "reference.gff" "-o" "counts.txt" "SRR10379726_1_trimmed.bam" "SRR10379723_1_trimmed.bam" "SRR10379725_1_trimmed.bam" "SRR10379722_1_trimmed.bam" "SRR10379724_1_trimmed.bam" "SRR10379721_1_trimmed.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10379726_1_trimmed.bam	SRR10379723_1_trimmed.bam	SRR10379725_1_trimmed.bam	SRR10379722_1_trimmed.bam	SRR10379724_1_trimmed.bam	SRR10379721_1_trimmed.bam
gene-SAOUHSC_00018	CP000253.1	20766	22166	+	1401	6291	8760	19500	10372	14311	11773
gene-SAOUHSC_00019	CP000253.1	22444	23727	+	1284	3218	6876	5225	6279	8575	7007
gene-SAOUHSC_T00018	CP000253.1	24157	24231	+	75	130	38	7	42	47	86
gene-SAOUHSC_T00011	CP000253.1	24239	24311	+	73	200	159	31	361	229	370
gene-SAOUHSC_00020	CP000253.1	24931	25632	+	702	921	2698	5993	3551	3918	3874
gene-SAOUHSC_00021	CP000253.1	25645	27471	+	1827	6165	8368	13107	10600	11363	12378
gene-SAOUHSC_00022	CP000253.1	27515	28798	+	1284	1989	9137	12036	11016	10257	12999
gene-SAOUHSC_00023	CP000253.1	28799	29587	+	789	2075	7311	8127	7827	6826	9543
gene-SAOUHSC_00024	CP000253.1	29977	30777	+	801	373	1851	1082	1710	1344	2795
gene-SAOUHSC_00025	CP000253.1	31005	33323	+	2319	675	2138	1550	2071	1241	2873
gene-SAOUHSC_00026	CP000253.1	33555	34034	-	480	2	114	21	50	17	105
gene-SAOUHSC_00027	CP000253.1	33691	34170	+	480	146	288	527	330	324	378
gene-SAOUHSC_00028	CP000253.1	34375	34509	-	135	7	12	40	17	30	12
gene-SAOUHSC_00029	CP000253.1	34473	34565	+	93	3	7	9	3	18	1
gene-SAOUHSC_00030	CP000253.1	34712	36457	+	1746	296	1334	3944	1159	2385	1582
gene-SAOUHSC_00031	CP000253.1	36551	37003	-	453	325	29748	2327	18112	2106	28563
gene-SAOUHSC_00032	CP000253.1	37019	37120	-	102	18	128	40	28	22	57
gene-SAOUHSC_00033	CP000253.1	37218	37973	-	756	149	16213	1161	9538	1466	14292
gene-SAOUHSC_00034	CP000253.1	37973	38233	-	261	20	3282	323	2781	332	3690
gene-SAOUHSC_00035	CP000253.1	38370	39437	+	1068	39	25479	473	16411	1015	24767
gene-SAOUHSC_00036	CP000253.1	39468	40802	+	1335	283	48401	1140	32714	2067	46774
gene-SAOUHSC_00037	CP000253.1	40821	42014	+	1194	3304	42561	8156	29474	8533	45173
gene-SAOUHSC_00038	CP000253.1	42281	42382	-	102	21	274	164	302	228	384
gene-SAOUHSC_00039	CP000253.1	42681	43613	-	933	2013	3012	4314	3781	3478	4202
gene-SAOUHSC_00040	CP000253.1	43976	44179	+	204	6	38	51	30	33	40
gene-SAOUHSC_00041	CP000253.1	44228	44524	+	297	68	581	635	581	455	753
gene-SAOUHSC_00042	CP000253.1	44596	45816	-	1221	140	1598	1112	1403	1005	1965
gene-SAOUHSC_00043	CP000253.1	45809	46360	-	552	33	618	223	540	268	782
gene-SAOUHSC_00044	CP000253.1	46473	47333	+	861	73	1546	977	1313	805	1883
gene-SAOUHSC_00045	CP000253.1	47689	48222	-	534	72	154	521	91	316	144
gene-SAOUHSC_00046	CP000253.1	48313	49056	+	744	34	391	707	325	491	422
gene-SAOUHSC_00047	CP000253.1	49490	50092	+	603	50	502	946	423	497	728
gene-SAOUHSC_00049	CP000253.1	50359	53511	+	3153	332	2104	3242	1817	2405	2760
gene-SAOUHSC_00050	CP000253.1	53568	54050	+	483	113	1216	1305	923	938	1498
gene-SAOUHSC_00051	CP000253.1	54255	55241	+	987	195	256	725	232	510	458
gene-SAOUHSC_00052	CP000253.1	55462	56232	+	771	19	143	144	107	91	187
gene-SAOUHSC_00053	CP000253.1	56284	57054	+	771	29	235	364	174	192	252
gene-SAOUHSC_00054	CP000253.1	57118	57888	+	771	42	326	412	293	261	404
gene-SAOUHSC_00055	CP000253.1	57955	58722	+	768	55	500	538	428	395	677
gene-SAOUHSC_00056	CP000253.1	58855	61053	+	2199	754	2396	7006	2832	4950	3651
gene-SAOUHSC_00057	CP000253.1	61204	62382	+	1179	282	446	933	591	793	695
gene-SAOUHSC_00058	CP000253.1	62384	63772	+	1389	416	675	1991	773	1271	1080
gene-SAOUHSC_00060	CP000253.1	64265	65926	-	1662	798	2005	2025	1593	2336	2061
gene-SAOUHSC_00061	CP000253.1	66252	68027	-	1776	887	1499	3423	1611	2753	2426
gene-SAOUHSC_00062	CP000253.1	68201	69073	-	873	14	142	109	106	106	233
gene-SAOUHSC_00064	CP000253.1	69186	70583	+	1398	27	225	268	170	255	282
gene-SAOUHSC_00065	CP000253.1	70773	71246	+	474	308	308	2054	326	1736	433
gene-SAOUHSC_00067	CP000253.1	71508	73100	+	1593	2185	3800	7625	3872	6121	5430
gene-SAOUHSC_00069	CP000253.1	73429	74979	-	1551	882	1628	5106	2397	9036	2396
gene-SAOUHSC_00070	CP000253.1	75400	76152	-	753	50	369	1074	285	970	417
gene-SAOUHSC_00071	CP000253.1	76521	77435	-	915	1670	2480	13500	4439	11140	4273
gene-SAOUHSC_00072	CP000253.1	77516	78511	-	996	181	389	456	483	328	698
gene-SAOUHSC_00074	CP000253.1	78527	79519	-	993	56	537	885	553	733	907
gene-SAOUHSC_00075	CP000253.1	79885	80730	+	846	18	219	95	246	102	431
gene-SAOUHSC_00076	CP000253.1	80727	81737	+	1011	77	297	162	335	194	597
gene-SAOUHSC_00077	CP000253.1	81758	83512	+	1755	96	614	450	698	456	1287
gene-SAOUHSC_00078	CP000253.1	83505	84761	+	1257	143	431	265	416	280	783
gene-SAOUHSC_00079	CP000253.1	84751	86487	+	1737	93	620	509	739	497	1309
gene-SAOUHSC_00080	CP000253.1	86396	88246	+	1851	193	870	688	964	674	1614
gene-SAOUHSC_00081	CP000253.1	88221	88997	+	777	169	425	422	475	334	783
gene-SAOUHSC_00082	CP000253.1	88997	90199	+	1203	168	720	770	719	535	1343
gene-SAOUHSC_00083	CP000253.1	90203	90967	+	765	156	547	542	525	397	892
gene-SAOUHSC_A00084	CP000253.1	90905	91096	-	192	6	66	73	46	31	97
gene-SAOUHSC_00084	CP000253.1	91163	91570	+	408	20	83	252	87	214	157
gene-SAOUHSC_00085	CP000253.1	91620	92246	+	627	60	141	425	127	401	179
gene-SAOUHSC_00086	CP000253.1	92458	93234	+	777	10214	2325	17985	4906	9304	5205
gene-SAOUHSC_00087	CP000253.1	93378	93500	+	123	0	9	4	5	3	8
gene-SAOUHSC_00088	CP000253.1	93570	94550	+	981	6	127	52	106	66	174
gene-SAOUHSC_00089	CP000253.1	94513	95205	+	693	11	125	30	108	53	146
gene-SAOUHSC_00090	CP000253.1	95415	96581	+	1167	12	217	100	200	84	337
gene-SAOUHSC_00091	CP000253.1	96562	97800	+	1239	13	236	139	202	129	300
gene-SAOUHSC_00092	CP000253.1	97790	99220	+	1431	145	927	1802	878	1146	1305
gene-SAOUHSC_00093	CP000253.1	99488	100087	+	600	342	2910	1313	2562	1322	4172
gene-SAOUHSC_00094	CP000253.1	100455	101054	+	600	15909	47473	58665	60050	38295	70910
gene-SAOUHSC_00096	CP000253.1	101370	102125	-	756	300	1827	1840	2084	1585	2514
gene-SAOUHSC_A00097	CP000253.1	102228	102452	-	225	5	13	22	8	12	16
gene-SAOUHSC_00097	CP000253.1	102361	103068	+	708	312	3258	2192	5310	1127	5243
gene-SAOUHSC_00099	CP000253.1	103075	104427	+	1353	351	8062	5452	12369	3347	11263
gene-SAOUHSC_00100	CP000253.1	104508	105170	+	663	3777	11252	8552	15250	6116	15023
gene-SAOUHSC_00101	CP000253.1	105198	106376	+	1179	6264	12736	16546	21779	12716	19167
gene-SAOUHSC_00102	CP000253.1	106507	107322	-	816	70	329	256	428	292	565
gene-SAOUHSC_00103	CP000253.1	107319	108119	-	801	27	239	191	297	184	420
gene-SAOUHSC_00104	CP000253.1	108121	108894	-	774	37	401	291	440	287	624
gene-SAOUHSC_00105	CP000253.1	109108	110064	-	957	28	332	285	349	300	533
gene-SAOUHSC_00106	CP000253.1	110293	111837	+	1545	298	907	937	960	772	1345
gene-SAOUHSC_00107	CP000253.1	111888	113423	+	1536	532	1590	2375	1816	1836	2232
gene-SAOUHSC_00108	CP000253.1	113507	113710	+	204	0	14	19	14	5	24
gene-SAOUHSC_00109	CP000253.1	114083	114568	+	486	3	88	57	55	48	132
gene-SAOUHSC_00110	CP000253.1	114553	114843	+	291	5	59	81	47	48	87
gene-SAOUHSC_00111	CP000253.1	114927	115214	+	288	60	20	37	19	59	22
gene-SAOUHSC_00112	CP000253.1	115867	116088	+	222	55	225	614	215	373	301
gene-SAOUHSC_00113	CP000253.1	116538	119147	+	2610	5753	1928	21602	1934	8778	3077
gene-SAOUHSC_00114	CP000253.1	119492	120160	+	669	1019	1040	11210	1572	6073	1436
gene-SAOUHSC_00115	CP000253.1	120176	120862	+	687	2257	1264	12968	2062	7007	1838
gene-SAOUHSC_00116	CP000253.1	120865	121629	+	765	2341	1515	15496	2538	6890	2188
gene-SAOUHSC_00117	CP000253.1	121649	123472	+	1824	8766	2847	23300	5361	11080	4551
gene-SAOUHSC_00118	CP000253.1	123462	124490	+	1029	4285	1707	13735	2868	5625	2519
gene-SAOUHSC_00119	CP000253.1	124503	125612	+	1110	2415	1794	14237	3063	5325	2832
gene-SAOUHSC_00120	CP000253.1	125616	126740	+	1125	5602	1849	14362	3189	5805	2794
gene-SAOUHSC_00121	CP000253.1	126743	127369	+	627	1692	820	6821	1237	2637	1245
gene-SAOUHSC_00122	CP000253.1	127374	128483	+	1110	1366	1185	10913	1852	4184	1893
gene-SAOUHSC_00123	CP000253.1	128497	129663	+	1167	2229	819	7719	1204	3010	1285
gene-SAOUHSC_00124	CP000253.1	129656	130861	+	1206	725	679	5644	732	2173	861
gene-SAOUHSC_00125	CP000253.1	130862	132067	+	1206	4662	1716	14905	2731	4507	2715
gene-SAOUHSC_00126	CP000253.1	132078	132635	+	558	3304	860	8246	1279	2123	1282
gene-SAOUHSC_00127	CP000253.1	132635	133522	+	888	1820	1704	10914	2516	4039	2625
gene-SAOUHSC_00128	CP000253.1	133576	134838	+	1263	5627	2340	17675	3747	5370	3895
gene-SAOUHSC_00129	CP000253.1	134915	136060	+	1146	5475	2844	15454	4038	5613	4367
gene-SAOUHSC_00130	CP000253.1	136125	136451	-	327	63	750	914	934	605	1129
gene-SAOUHSC_00131	CP000253.1	136458	136841	-	384	42	551	783	674	516	814
gene-SAOUHSC_00132	CP000253.1	137268	138755	+	1488	3107	4773	33400	13802	22219	12912
gene-SAOUHSC_00133	CP000253.1	139401	140360	+	960	185	657	1792	833	1615	972
gene-SAOUHSC_00134	CP000253.1	140422	140625	-	204	15	89	322	149	251	139
gene-SAOUHSC_00135	CP000253.1	140804	141316	+	513	114	967	337	856	274	1526
gene-SAOUHSC_00136	CP000253.1	141658	142398	+	741	17	334	109	318	118	559
gene-SAOUHSC_00137	CP000253.1	142412	143386	+	975	69	531	195	505	167	825
gene-SAOUHSC_00138	CP000253.1	143383	144144	+	762	22	377	109	423	90	641
gene-SAOUHSC_00139	CP000253.1	144157	145188	+	1032	294	978	1864	937	1087	1556
gene-SAOUHSC_00141	CP000253.1	145405	145764	+	360	287	20453	5403	19882	5679	32049
gene-SAOUHSC_00142	CP000253.1	145937	146962	+	1026	114	1442	437	1956	431	2284
gene-SAOUHSC_00143	CP000253.1	147348	148598	+	1251	349	7048	2603	6209	2139	11837
gene-SAOUHSC_00144	CP000253.1	149045	156220	+	7176	14103	76936	68464	77561	60108	134101
gene-SAOUHSC_00145	CP000253.1	156233	156877	+	645	1048	11752	7475	12219	7502	20753
gene-SAOUHSC_00146	CP000253.1	157205	157684	-	480	2007	3389	3568	2280	3830	4057
gene-SAOUHSC_00147	CP000253.1	157954	158718	-	765	64	2776	521	1688	464	3110
gene-SAOUHSC_00148	CP000253.1	158734	159975	-	1242	160	3298	679	2103	554	3684
gene-SAOUHSC_00149	CP000253.1	159987	161018	-	1032	50	899	330	631	269	1176
gene-SAOUHSC_00150	CP000253.1	161057	162241	-	1185	155	1527	677	1179	533	1981
gene-SAOUHSC_00151	CP000253.1	162494	163849	-	1356	355	1736	7606	1655	6792	2326
gene-SAOUHSC_00152	CP000253.1	164125	164622	-	498	328	887	868	1372	898	1719
gene-SAOUHSC_00153	CP000253.1	164749	166389	-	1641	455	1606	3090	2786	1561	3333
gene-SAOUHSC_00154	CP000253.1	166583	166684	+	102	0	22	9	26	10	38
gene-SAOUHSC_00155	CP000253.1	166663	168660	-	1998	3509	3881	12962	3848	12943	6074
gene-SAOUHSC_00156	CP000253.1	169309	170349	+	1041	1778	2183	16989	3937	6903	3276
gene-SAOUHSC_00157	CP000253.1	170349	171245	+	897	2491	1502	8081	2818	2498	2110
gene-SAOUHSC_00158	CP000253.1	171257	172711	+	1455	2968	2461	9306	4634	3426	3655
gene-SAOUHSC_00160	CP000253.1	172714	173589	+	876	387	1789	3777	3159	1828	2758
gene-SAOUHSC_00161	CP000253.1	173783	174064	-	282	10	67	276	54	123	115
gene-SAOUHSC_00162	CP000253.1	174277	177066	+	2790	667	2093	5832	2686	4582	3347
gene-SAOUHSC_00163	CP000253.1	177271	178113	+	843	250	784	4839	1039	3116	1253
gene-SAOUHSC_00164	CP000253.1	178115	179038	+	924	290	721	3158	1137	2704	1228
gene-SAOUHSC_00166	CP000253.1	179025	180137	+	1113	487	1167	5045	1589	2862	1756
gene-SAOUHSC_00167	CP000253.1	180402	181994	-	1593	205	2786	779	2485	671	3925
gene-SAOUHSC_00168	CP000253.1	181951	183429	+	1479	43	1313	350	1251	359	1666
gene-SAOUHSC_00169	CP000253.1	183435	184598	+	1164	35	760	179	711	161	984
gene-SAOUHSC_00170	CP000253.1	184615	186390	+	1776	99	1377	514	1151	339	1756
gene-SAOUHSC_00171	CP000253.1	186428	188434	+	2007	301	4256	1222	4512	1057	5241
gene-SAOUHSC_00172	CP000253.1	188732	189505	-	774	24	2283	433	2146	453	2723
gene-SAOUHSC_00173	CP000253.1	189695	190321	-	627	86	35322	1488	24844	1113	41082
gene-SAOUHSC_00174	CP000253.1	190530	191108	+	579	492	1869	2426	3437	1760	3068
gene-SAOUHSC_00175	CP000253.1	191491	192588	+	1098	79	351	415	420	300	549
gene-SAOUHSC_00176	CP000253.1	192601	193872	+	1272	72	752	353	902	249	1061
gene-SAOUHSC_00177	CP000253.1	193875	195143	+	1269	110	922	528	1233	325	1307
gene-SAOUHSC_00178	CP000253.1	195145	195984	+	840	33	669	296	919	231	924
gene-SAOUHSC_00179	CP000253.1	196058	197134	+	1077	227	1273	563	1755	384	1732
gene-SAOUHSC_00180	CP000253.1	197159	198199	+	1041	185	1248	584	1755	436	1721
gene-SAOUHSC_00181	CP000253.1	198254	199222	+	969	128	1533	609	2145	599	2195
gene-SAOUHSC_00182	CP000253.1	199583	200155	-	573	44	470	985	441	877	678
gene-SAOUHSC_00183	CP000253.1	200310	201689	+	1380	600	3728	1434	4767	2315	3416
gene-SAOUHSC_00184	CP000253.1	202048	202806	-	759	99	417	607	308	548	553
gene-SAOUHSC_00185	CP000253.1	202799	204355	-	1557	157	591	1434	528	944	880
gene-SAOUHSC_00186	CP000253.1	204352	205320	-	969	120	370	860	347	743	552
gene-SAOUHSC_00187	CP000253.1	205908	208157	+	2250	49197	7168	174948	10025	116231	12519
gene-SAOUHSC_00188	CP000253.1	208180	208935	+	756	26722	3008	70635	4092	39213	5521
gene-SAOUHSC_00189	CP000253.1	209039	209233	+	195	46	90	486	88	209	140
gene-SAOUHSC_00190	CP000253.1	209271	211034	+	1764	204	978	2188	893	1621	1406
gene-SAOUHSC_00191	CP000253.1	211198	211542	-	345	96	2200	4521	3293	4812	4090
gene-SAOUHSC_00192	CP000253.1	211732	213642	+	1911	299	5373	3034	9565	6000	6188
gene-SAOUHSC_00193	CP000253.1	213824	213931	-	108	2	301	198	410	330	260
gene-SAOUHSC_00194	CP000253.1	213950	214120	-	171	34	327	171	575	119	397
gene-SAOUHSC_00195	CP000253.1	214246	215430	-	1185	496	2109	1837	5647	842	3129
gene-SAOUHSC_00196	CP000253.1	215460	217721	-	2262	576	2702	5416	8464	1734	4084
gene-SAOUHSC_00197	CP000253.1	217907	219118	-	1212	871	1231	5282	5251	1823	1924
gene-SAOUHSC_00198	CP000253.1	219230	220735	-	1506	1265	1951	14217	8153	7394	3408
gene-SAOUHSC_00199	CP000253.1	220761	222338	-	1578	4536	2327	38375	9314	23791	4259
gene-SAOUHSC_00200	CP000253.1	222779	223921	+	1143	170	734	1262	614	903	1100
gene-SAOUHSC_00201	CP000253.1	224235	225647	-	1413	151	1955	1708	1358	1444	2661
gene-SAOUHSC_00202	CP000253.1	225908	226264	-	357	105	245	670	219	494	382
gene-SAOUHSC_00203	CP000253.1	226421	226594	-	174	108	129	788	105	524	212
gene-SAOUHSC_00204	CP000253.1	226620	227765	-	1146	1033	1230	11262	1446	6141	2257
gene-SAOUHSC_00205	CP000253.1	227920	228027	+	108	3	45	44	35	28	56
gene-SAOUHSC_00206	CP000253.1	228482	229291	+	810	57681	10757	251465	13928	132326	14647
gene-SAOUHSC_00208	CP000253.1	229502	229645	+	144	6	13	13	18	35	16
gene-SAOUHSC_00209	CP000253.1	229611	231140	-	1530	640	1228	1279	1514	1811	1933
gene-SAOUHSC_00211	CP000253.1	231502	232437	+	936	289	278	608	311	491	444
gene-SAOUHSC_00212	CP000253.1	232547	232645	+	99	0	3	0	2	0	6
gene-SAOUHSC_00213	CP000253.1	232776	234872	+	2097	32	399	419	412	422	724
gene-SAOUHSC_00214	CP000253.1	234857	235324	+	468	4	89	25	75	31	142
gene-SAOUHSC_00215	CP000253.1	235347	235625	+	279	2	60	23	51	26	72
gene-SAOUHSC_00216	CP000253.1	235852	237111	+	1260	33	395	212	388	231	671
gene-SAOUHSC_00217	CP000253.1	237129	238184	+	1056	77	415	299	425	272	725
gene-SAOUHSC_00218	CP000253.1	238186	238332	+	147	6	35	13	28	18	40
gene-SAOUHSC_00219	CP000253.1	238356	239399	+	1044	192	689	539	690	518	1249
gene-SAOUHSC_00220	CP000253.1	239969	240643	+	675	1234	563	3834	949	2509	996
gene-SAOUHSC_00221	CP000253.1	240636	241661	+	1026	445	785	3520	1150	3086	1346
gene-SAOUHSC_A00219	CP000253.1	241570	241857	-	288	74	89	686	124	279	161
gene-SAOUHSC_00222	CP000253.1	241836	243377	+	1542	1134	1900	6531	2200	4731	2906
gene-SAOUHSC_00223	CP000253.1	243805	244974	+	1170	349	1222	2662	1779	1731	2226
gene-SAOUHSC_00225	CP000253.1	245250	245966	+	717	525	1964	3366	2362	3115	2959
gene-SAOUHSC_00226	CP000253.1	245959	246984	+	1026	1345	4857	9415	5131	6585	6708
gene-SAOUHSC_00227	CP000253.1	247006	248694	+	1689	2370	11887	20284	11420	12835	15145
gene-SAOUHSC_00228	CP000253.1	248727	250451	+	1725	6676	27145	32513	26103	21483	33172
gene-SAOUHSC_00229	CP000253.1	250591	251265	+	675	510	597	3852	582	1654	925
gene-SAOUHSC_00230	CP000253.1	251527	253266	+	1740	1089	805	7434	969	5297	1209
gene-SAOUHSC_00231	CP000253.1	253269	254009	+	741	75	178	1014	185	599	312
gene-SAOUHSC_00232	CP000253.1	254122	254565	+	444	180	150	2348	230	371	187
gene-SAOUHSC_00233	CP000253.1	254558	255259	+	702	1700	592	4959	1045	1086	966
gene-SAOUHSC_00234	CP000253.1	255367	256071	-	705	67	929	1018	1051	802	1390
gene-SAOUHSC_00235	CP000253.1	256220	257011	+	792	19	443	284	453	165	821
gene-SAOUHSC_00236	CP000253.1	257027	258463	+	1437	106	792	366	893	249	1260
gene-SAOUHSC_00237	CP000253.1	258896	259657	-	762	28	425	340	500	295	695
gene-SAOUHSC_00238	CP000253.1	259676	259810	+	135	2	28	13	12	13	39
gene-SAOUHSC_00239	CP000253.1	259908	260822	-	915	952	1359	3652	2371	1895	2707
gene-SAOUHSC_00240	CP000253.1	260850	261254	-	405	139	648	1727	1009	785	1157
gene-SAOUHSC_00241	CP000253.1	261269	262150	-	882	903	1373	1871	2200	1566	2563
gene-SAOUHSC_00242	CP000253.1	262382	263380	-	999	594	1098	2271	1364	1960	1754
gene-SAOUHSC_00243	CP000253.1	263531	263710	+	180	0	152	44	71	66	217
gene-SAOUHSC_00244	CP000253.1	263760	264152	+	393	16	876	411	562	317	954
gene-SAOUHSC_00245	CP000253.1	264380	264784	+	405	51	395	420	524	396	682
gene-SAOUHSC_00246	CP000253.1	264825	266201	-	1377	201	1734	1596	2636	1803	3007
gene-SAOUHSC_00247	CP000253.1	266435	267427	+	993	138	701	901	786	657	1125
gene-SAOUHSC_00248	CP000253.1	267753	268703	+	951	752	1271	1671	1586	1172	1832
gene-SAOUHSC_00249	CP000253.1	268755	269414	-	660	27	336	337	317	298	518
gene-SAOUHSC_00250	CP000253.1	269428	270348	-	921	15	337	345	275	295	458
gene-SAOUHSC_00251	CP000253.1	270345	271511	-	1167	28	344	292	297	270	587
gene-SAOUHSC_00253	CP000253.1	271579	273102	-	1524	33	1529	695	1088	671	1923
gene-SAOUHSC_00254	CP000253.1	273373	274026	+	654	4	90	66	71	86	106
gene-SAOUHSC_00255	CP000253.1	274060	274647	+	588	22	342	207	250	194	481
gene-SAOUHSC_00256	CP000253.1	274790	275683	-	894	416	1348	1224	1317	1021	1849
gene-SAOUHSC_00257	CP000253.1	275931	276224	+	294	1722	2616	3008	3780	2318	4105
gene-SAOUHSC_00258	CP000253.1	276308	279337	+	3030	93	2830	1195	2959	1159	3940
gene-SAOUHSC_00259	CP000253.1	279337	279795	+	459	7	515	123	380	142	664
gene-SAOUHSC_00260	CP000253.1	279728	280009	+	282	0	38	18	24	27	34
gene-SAOUHSC_00261	CP000253.1	280022	281356	+	1335	7	231	157	204	155	393
gene-SAOUHSC_00262	CP000253.1	281378	285817	+	4440	133	1302	879	1246	918	2108
gene-SAOUHSC_00264	CP000253.1	285847	286239	+	393	16	104	156	78	122	146
gene-SAOUHSC_00265	CP000253.1	286255	286569	+	315	56	82	75	108	91	162
gene-SAOUHSC_00266	CP000253.1	286569	287243	+	675	17	167	140	138	111	233
gene-SAOUHSC_00267	CP000253.1	287243	287560	+	318	21	77	70	88	66	115
gene-SAOUHSC_00268	CP000253.1	287570	289414	+	1845	1450	1681	4248	1826	2928	2435
gene-SAOUHSC_00269	CP000253.1	289425	289916	+	492	503	1032	5177	957	3418	1451
gene-SAOUHSC_00270	CP000253.1	290124	290807	+	684	85	341	1019	294	713	420
gene-SAOUHSC_00271	CP000253.1	290954	291565	+	612	35	148	622	161	398	251
gene-SAOUHSC_00272	CP000253.1	291701	291919	+	219	21	893	272	612	472	1345
gene-SAOUHSC_00274	CP000253.1	292051	292551	+	501	12	66	79	55	83	91
gene-SAOUHSC_00275	CP000253.1	292421	293062	+	642	30	137	354	142	188	166
gene-SAOUHSC_00276	CP000253.1	293073	293573	+	501	21	112	352	128	162	167
gene-SAOUHSC_00277	CP000253.1	293584	294084	+	501	41	82	298	98	143	127
gene-SAOUHSC_00278	CP000253.1	294095	294583	+	489	25	90	199	75	134	165
gene-SAOUHSC_00279	CP000253.1	295206	295580	+	375	52	1623	774	1266	607	1931
gene-SAOUHSC_00280	CP000253.1	295733	296131	+	399	207	2100	1083	1579	914	2677
gene-SAOUHSC_00281	CP000253.1	296347	297171	-	825	927	617	5262	617	2571	783
gene-SAOUHSC_00282	CP000253.1	297408	298685	-	1278	1731	4308	13612	6540	12584	9872
gene-SAOUHSC_00284	CP000253.1	299299	300189	+	891	46	411	439	365	358	650
gene-SAOUHSC_A00283	CP000253.1	300206	300439	-	234	0	8	5	7	5	16
gene-SAOUHSC_00285	CP000253.1	300438	301487	+	1050	1276	3105	10193	4549	7258	3831
gene-SAOUHSC_00287	CP000253.1	301500	302177	+	678	2826	2872	10377	4092	7007	3896
gene-SAOUHSC_00289	CP000253.1	302336	302476	-	141	0	10	5	7	1	12
gene-SAOUHSC_00290	CP000253.1	302466	303416	+	951	1211	3421	6164	3359	3998	4499
gene-SAOUHSC_00291	CP000253.1	303759	304877	+	1119	107	206	1099	280	487	370
gene-SAOUHSC_00292	CP000253.1	304852	305775	+	924	233	303	1286	372	563	493
gene-SAOUHSC_00293	CP000253.1	305786	307006	+	1221	151	547	1227	601	777	986
gene-SAOUHSC_00294	CP000253.1	307111	308643	-	1533	228	2498	1302	3831	1790	3802
gene-SAOUHSC_00295	CP000253.1	308683	309564	-	882	192	1413	1203	2399	1622	2028
gene-SAOUHSC_00296	CP000253.1	309722	310582	+	861	519	890	1788	1116	1066	1245
gene-SAOUHSC_00297	CP000253.1	310860	311660	-	801	822	1439	4128	1791	2897	2298
gene-SAOUHSC_00298	CP000253.1	311800	312468	+	669	276	1826	1260	2327	1054	2725
gene-SAOUHSC_00299	CP000253.1	312595	313908	-	1314	65	427	885	460	490	659
gene-SAOUHSC_00300	CP000253.1	314326	316398	+	2073	23535	51582	60419	62264	44537	72129
gene-SAOUHSC_00301	CP000253.1	316640	317467	-	828	363	1041	2210	1123	1951	1641
gene-SAOUHSC_00302	CP000253.1	317540	318739	-	1200	426	826	1915	809	1541	1278
gene-SAOUHSC_00303	CP000253.1	318835	318927	+	93	5	50	75	44	40	84
gene-SAOUHSC_00304	CP000253.1	319041	320042	+	1002	116	397	584	461	474	739
gene-SAOUHSC_00305	CP000253.1	320136	320408	+	273	37	150	239	180	145	252
